Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-04-26 23:54:38",3,1,GrrdMlmr,d2f2388e-2194-4bd0-9e86-64f8167a4e29,"Live Fire",Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,56.75,3767,3854,504,286,218,0.71,-0.66,10,0,1,3,0,0,0,9,14,10,0,0,2,0,0,12,10,1590,0,7,474
"2023-04-27 00:05:04",3,1,GrrdMlmr,d76c7479-5a25-4e96-aa51-af8cf221d301,Deadlock,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,11,1,1,0,,Loss,49.17,4028,1461,242,119,123,1.67,4.33,10,1,0,1,4,0,0,2,6,1,0,0,3,1,0,7,6,1120,0,4,494
"2023-04-27 00:27:52",3,1,GrrdMlmr,3228799e-9b7f-488c-897c-65b4b14ed171,Cliffhanger,"King of the Hill","Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,44.03,3468,3729,452,199,253,1.38,6.33,18,3,3,4,0,0,0,7,13,4,0,0,6,0,0,14,14,2320,0,7,567
"2023-04-27 00:39:31",3,1,GrrdMlmr,91ab13a7-48b3-4766-ae65-9b327d9cf3db,"Live Fire",Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,42.72,3583,3915,522,223,299,0.85,0.00,11,1,1,2,0,0,0,6,13,6,0,0,5,0,0,8,13,1410,0,7,476
"2023-04-27 00:48:32",3,1,GrrdMlmr,aab09884-1580-41fd-beba-daaba7d6a0d2,Salvation,"One Flag CTF","Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,50.7,1895,2525,215,109,106,0.89,0.00,8,0,0,0,3,0,0,3,9,3,0,0,3,0,0,7,8,1005,0,1,464
"2023-04-27 00:58:47",3,1,GrrdMlmr,3b77b5e0-8614-4852-ad91-2ac32beb16b7,Starboard,CTF,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,39.38,3192,4502,650,256,394,0.56,-6.00,10,1,0,0,0,0,0,9,18,6,0,0,2,0,0,13,14,1525,0,2,643
"2023-04-27 01:12:11",3,1,GrrdMlmr,eea666a8-45df-4782-bd55-3d96a030d837,Catalyst,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,50.29,4313,3149,171,86,85,1.64,7.66,18,0,1,1,12,0,0,5,11,2,0,1,5,0,0,13,12,1850,0,9,559
"2023-04-27 01:24:56",3,1,GrrdMlmr,e716f249-a32f-429f-9d6d-f180eaf18a61,Starboard,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,42.57,3566,3637,592,252,340,1.36,5.33,15,2,0,1,7,0,0,3,11,4,0,1,4,0,0,10,11,1630,0,5,503
"2023-04-27 01:33:22",3,1,GrrdMlmr,2469ac43-1a8a-4b2a-9deb-550e0916eb92,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,9,0,1,1,,Win,41.72,1174,1524,151,63,88,2.00,5.00,6,0,0,1,0,0,3,3,3,6,0,0,4,0,0,6,5,830,0,3,556
"2023-05-03 03:12:49",3,1,GrrdMlmr,62af9eb4-f56a-48a9-9fdd-4acd26b2c7f8,Recharge,"Doubles Attrition","Ranked Doubles",CrossPlay,Open,825,821,,,,,,,,,,,,,3,1,1,0,,Loss,49.25,4790,6340,599,295,304,0.62,-6.66,13,1,1,10,0,0,0,6,21,4,0,0,2,0,0,19,16,1660,0,14,925
"2023-05-03 03:29:57",3,1,GrrdMlmr,e502a8a9-3388-4227-9aa4-635953b6f2f7,Catalyst,"Doubles Slayer","Ranked Doubles",CrossPlay,Open,821,835,,,,,,,,,,,,,1,1,1,0,,Win,52.91,4243,2698,327,173,154,2.80,10.00,14,1,1,7,5,0,0,3,5,3,0,0,5,0,0,14,7,1580,0,13,529
"2023-05-03 03:42:05",3,1,GrrdMlmr,fc3880b5-9e90-4591-bd3e-b074d361624d,Bazaar,"Doubles Slayer","Ranked Doubles",CrossPlay,Open,835,850,,,,,,,,,,,,,1,1,1,0,,Win,51.3,4174,3174,347,178,169,1.56,6.33,14,2,3,8,0,0,0,7,9,4,0,0,5,0,0,12,8,1620,0,11,508
"2023-05-03 03:52:34",3,1,GrrdMlmr,c0eb8193-de75-4f24-9034-1a68b251d417,Catalyst,"Doubles Slayer","Ranked Doubles",CrossPlay,Open,850,846,,,,,,,,,,,,,4,1,1,0,,Loss,54.8,3294,4335,281,154,127,0.62,-2.66,8,1,1,2,3,0,0,8,13,7,0,0,3,0,0,12,10,1230,0,4,560
