Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-23 18:42:23",1,1,"Bryan Tran",f42dd337-889e-4942-938d-20f58969ce8d,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,12.54,592,2581,319,40,279,0.18,-8.66,2,0,0,1,0,0,0,0,11,1,0,0,1,0,0,8,8,350,0,0,323
"2021-11-23 18:50:14",1,1,"Bryan Tran",27563df5-8bdf-499d-8dcc-9f47809a8398,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,36.11,1475,4262,252,91,161,0.11,-15.00,2,1,0,1,0,0,0,0,19,6,0,0,1,0,0,13,14,570,0,0,535
"2021-11-23 19:01:06",1,1,"Bryan Tran",8dcf410b-82f0-41fc-a041-d855badd702b,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,31.49,856,4915,181,57,124,0.14,-17.00,3,0,1,1,0,0,0,0,21,3,0,0,1,0,0,15,18,805,0,2,674
"2021-11-23 19:14:29",1,1,"Bryan Tran",35cd1b87-1063-4f2a-9ed3-88d046c6473a,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,36.75,2509,6756,351,129,222,0.23,-17.66,6,2,0,3,0,0,0,0,26,7,0,0,2,0,0,18,19,1375,0,1,784
"2021-11-24 00:59:57",1,1,"Bryan Tran",f71d7940-3484-4b5e-b4a8-05d5db6009e4,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,26.21,2276,4219,290,76,214,0.47,-8.66,8,2,2,2,1,0,0,0,17,1,0,0,2,0,0,12,15,905,0,1,571
"2021-11-24 01:12:18",1,1,"Bryan Tran",7d46837f-72b4-4209-87ac-670ede95c810,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,31.41,1377,3071,191,60,131,0.15,-10.33,2,0,0,2,0,0,0,0,13,2,0,0,1,0,0,8,10,300,0,0,358
"2021-11-24 01:20:21",1,1,"Bryan Tran",7304383a-2f0a-4a9a-a443-6d5fd6d831c7,Aquarius,"CTF 5 Captures","Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,1,,Loss,38.37,2628,5739,344,132,212,0.24,-12.66,5,1,1,2,0,0,0,0,21,10,0,0,2,0,0,15,17,1280,0,2,762
"2021-11-24 01:34:53",1,1,"Bryan Tran",d32b4c0e-f10a-4a25-a53a-6b90a51e3ebb,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,6,1,1,0,,Loss,39.95,3215,5849,433,173,260,0.50,-8.33,11,1,3,3,0,0,0,0,22,8,0,0,2,0,0,15,18,1905,0,3,730
"2021-11-24 01:49:28",1,1,"Bryan Tran",ba2a6d1e-03e4-470d-b23e-677855b44815,Streets,Slayer,"Ranked Arena",CrossPlay,Open,0,1040,,,,,,,,,,,,,8,1,1,0,,Loss,22.26,1503,3589,795,177,618,0.27,-9.66,4,0,0,0,0,0,0,0,15,4,0,0,1,0,0,9,10,600,0,1,406
"2021-11-24 01:58:55",1,1,"Bryan Tran",b4b48f2f-c934-4012-aad5-73dd21974a31,Recharge,Slayer,"Fracture: Tenrai - Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,16.92,2022,3615,130,22,108,0.62,-4.33,8,0,0,1,4,0,0,0,13,2,0,0,2,0,0,10,11,900,0,3,455
"2021-11-25 19:08:35",1,1,"Bryan Tran",94d067af-f004-4a10-a964-92215a50f3d4,"Live Fire",Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,49.18,1277,357,61,30,31,6.00,6.66,6,0,0,3,3,0,0,0,0,2,0,0,6,0,0,6,2,825,0,6,210
"2021-11-30 21:16:35",1,1,"Bryan Tran",5b441e7b-2e52-45d0-bf6d-4896faa92644,Streets,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,39.74,1254,511,78,31,47,5.00,5.66,5,1,0,1,2,0,0,0,0,2,0,0,5,0,0,6,2,725,0,2,199
"2021-12-01 05:20:14",1,1,"Bryan Tran",8a32b9bb-eb04-43ea-b9f1-def74b4a5e01,Aquarius,Slayer,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,39.13,1975,625,161,63,98,7.00,9.33,7,1,0,3,0,0,0,0,0,7,0,0,7,0,0,9,3,1050,0,2,294
"2021-12-01 05:42:48",1,1,"Bryan Tran",bdfeb686-3548-46f2-900d-82e8fdaec56f,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1040,1040,,,,,,,,,,,,,5,1,1,0,,Loss,34.02,1287,4088,194,66,128,0.25,-11.66,4,0,0,3,0,0,0,0,16,1,0,0,1,0,0,11,13,850,0,2,515
"2021-12-01 05:53:06",1,1,"Bryan Tran",093bcb58-c41d-4273-9c7d-aa69a7e7b5ad,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,1,1,1,0,,Win,28.64,4050,6599,667,191,476,0.44,-12.00,11,1,1,4,0,0,0,0,25,6,0,0,3,0,0,18,19,2275,0,5,851
"2021-12-04 20:20:05",1,1,"Bryan Tran",6afd6be4-3c36-4da1-b392-fce380088181,"Live Fire",Strongholds,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,30.08,2547,4860,379,114,265,0.47,-7.00,8,1,1,4,0,0,0,0,17,6,0,0,2,0,0,14,15,1600,0,3,653
"2021-12-04 20:32:56",1,1,"Bryan Tran",ef0055c0-8617-4260-bd95-a4eb8e020f9f,Recharge,Strongholds,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,28.61,3319,5011,332,95,237,0.42,-9.00,8,3,1,3,0,0,0,0,19,6,0,0,3,0,0,14,19,1525,0,1,688
"2021-12-04 20:45:53",1,1,"Bryan Tran",f2034d13-b86f-4c55-ac30-26ed1b4cea34,Deadlock,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,18,1,1,0,,Loss,24.09,1031,2815,548,132,416,0.50,-5.00,5,0,0,1,0,0,0,0,10,0,0,0,2,0,0,7,8,500,0,0,520
"2021-12-04 20:57:19",1,1,"Bryan Tran",2a6b2cce-f481-4db9-9614-24342ae59617,Highpower,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,12,1,1,1,,Loss,26.32,1527,2293,190,50,140,0.29,-3.33,2,1,0,0,0,0,0,0,7,5,0,0,1,0,0,13,10,450,0,1,540
"2021-12-04 21:09:19",1,1,"Bryan Tran",3c34582f-bfd5-4b1c-823a-f4fac740dac4,Highpower,"Total Control","Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,40.6,2041,2227,266,108,158,0.67,-2.66,6,0,1,3,0,0,0,0,9,1,0,0,1,0,0,7,8,825,0,1,469
"2021-12-04 21:19:27",1,1,"Bryan Tran",3ce9063e-16ea-403a-bf73-be81d275dfe9,Aquarius,Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,28.19,2573,3667,227,64,163,0.64,-4.00,9,2,1,3,0,0,0,0,14,3,0,0,2,0,0,11,11,1050,0,4,509
"2021-12-04 21:30:25",1,1,"Bryan Tran",a70e96af-9170-4633-b087-05f98b23d21d,Streets,Oddball,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,43.68,2299,5776,190,83,107,0.45,-9.33,9,1,2,2,0,0,0,0,20,5,0,0,3,0,0,18,13,2255,0,2,748
"2021-12-04 21:45:04",1,1,"Bryan Tran",c757dd63-13b9-4260-a109-deed7596aa78,Behemoth,CTF,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,30.01,3833,5603,1073,322,751,0.38,-11.00,8,0,2,1,0,0,0,0,21,6,0,0,2,0,0,18,18,1160,0,2,925
"2021-12-04 22:01:51",1,1,"Bryan Tran",034abb7c-e0a5-4579-a7b9-afc688775c63,"Live Fire",Oddball,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,29.56,3150,4099,389,115,274,0.69,-3.00,11,2,2,2,0,0,0,0,16,6,0,0,2,0,0,11,12,1635,0,1,556
"2021-12-18 20:25:58",1,1,"Bryan Tran",40225f21-57bb-441b-b787-a2b0f3873e93,Aquarius,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,33.94,2017,2982,221,75,146,0.78,-1.00,7,3,0,0,0,0,0,2,9,3,0,0,5,0,0,11,9,870,0,2,473
"2021-12-18 20:35:53",1,1,"Bryan Tran",f68d07fa-4ab6-4c90-b373-aeb1e42b4512,Recharge,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,57.04,2101,1099,135,77,58,2.67,5.66,8,5,0,1,0,0,0,3,3,2,0,0,4,0,0,7,3,930,0,1,260
